completion_variant,scenario,group,mean_score,best_frequency_hz,best_rank_count,top3_count,average_rank,score_5hz,score_10hz,score_15hz,score_20hz,score_40hz,score_80hz,rank_5hz,rank_10hz,rank_15hz,rank_20hz,rank_40hz,rank_80hz
c0x11,s03,completion scenario,1.0093479349732646,10,1,3,3.5,1.0779595534094348,0.7631805043140366,1.036084826888902,0.9193620100902845,1.1447512527256352,1.1147494624112944,4.0,1.0,3.0,2.0,6.0,5.0
c0x11,s04,other scenario,1.0182660475575354,80,1,3,3.5,1.416663152861051,0.9455956375824126,0.899335827137708,1.145284196558341,0.8587136926744691,0.8440037785312303,6.0,4.0,3.0,5.0,2.0,1.0
c0x11,s05,other scenario,1.0031521930677252,40,1,3,3.5,1.173317883760345,1.014010851371636,0.9909192461332336,0.9571354411812455,0.914847675595929,0.9686820603639618,6.0,5.0,4.0,2.0,1.0,3.0
c0x11,s06,other scenario,1.0060962317789004,80,1,3,3.5,1.2628828184154877,0.9759226552125696,0.9706156231661772,0.9338531497607612,0.9782661139487595,0.9150370301696468,6.0,4.0,3.0,2.0,5.0,1.0
c0x11,s07,other scenario,1.0138785919873174,20,1,3,3.5,1.3612470026624448,1.0768401474838032,0.876239481408381,0.8416783474394394,1.0235225724149106,0.9037440005149258,6.0,5.0,2.0,1.0,4.0,3.0
c0x11,s08,other scenario,1.0036736103624249,20,1,3,3.5,1.1802018231138764,0.9802874885170024,0.9961269965295475,0.8994737741238985,1.0223843153801453,0.9435672645100792,6.0,3.0,4.0,1.0,5.0,2.0
c0x11,s09,other scenario,1.0153755852435042,10,1,3,3.5,1.4186930226774024,0.8492253726307281,1.0465128660483187,0.9404988129207701,0.8935180535048368,0.9438053836789697,6.0,1.0,5.0,3.0,2.0,4.0
c0x11,s10,other scenario,1.0039548212506189,20,1,3,3.5,1.1495182901822278,0.9294378197615003,1.0682203353808601,0.88494861222562,1.0346378242815963,0.9569660456719086,6.0,2.0,5.0,1.0,4.0,3.0
c0x11,s11,other scenario,1.0060485389331306,40,1,3,3.5,1.2041054214737748,1.1088220131850355,0.9172720664618134,0.9849550238291627,0.8993415221324913,0.9217951865165054,6.0,5.0,2.0,4.0,1.0,3.0
c0x11,s12,other scenario,1.000190553278174,10,1,3,3.5,1.0052267810288888,0.962975334101283,1.011386769720776,1.0256099226472029,1.0039594614353324,0.9919850507355618,4.0,1.0,5.0,6.0,3.0,2.0
c0x11,s13,other scenario,1.012083190751583,15,1,3,3.5,1.0901126763855677,0.8866279484128565,0.8811717873565916,0.9916855724481464,1.3379895513220739,0.884911608584262,5.0,3.0,1.0,4.0,6.0,2.0
c0x11,s14,other scenario,1.0046428506521572,80,1,3,3.5,1.1877174871116378,0.9886918510555619,1.0781880245378745,0.9241528996855153,0.9368203518173782,0.9122864897049758,6.0,4.0,5.0,2.0,3.0,1.0
c0x11,s15,other scenario,1.0050438821336085,40,1,3,3.5,1.1805211656116767,1.103826329420003,0.962558313806271,0.9724919369816559,0.9053225316876962,0.9055430152943481,6.0,5.0,3.0,4.0,1.0,2.0
c0x11,s16,other scenario,1.000572846201617,80,1,3,3.5,1.0519967569176962,1.0302614135823507,0.9843805015521208,1.0104142640566016,0.9735373933550431,0.95284674774589,6.0,5.0,3.0,4.0,2.0,1.0
c0x11,s17,other scenario,1.000329982212999,10,1,3,3.5,1.0149155810844441,0.9713402764949203,0.9736685858041195,1.0403293103886737,1.018352895342644,0.9833732441631924,4.0,1.0,2.0,6.0,5.0,3.0
c0x11,s18,other scenario,1.00223504202373,80,1,3,3.5,1.1297255665095978,0.9658817531039692,0.9623727451851832,1.0038064680461412,1.0353984437461499,0.9162252755513389,6.0,3.0,2.0,4.0,5.0,1.0
c0x11,s19,completion scenario,1.0050883658931744,10,1,3,3.5,1.1593290612156884,0.8353858329268049,0.94248137598712,1.001121146088241,1.042574731451817,1.049638047689375,6.0,1.0,2.0,3.0,4.0,5.0
