family,method,Frequency,Rank,Score,ranking
weight_method,scenario_trimmed_k,20,3.0,0.9645825301508011,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_trimmed_k,10,4.0,0.9750796956585497,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_trimmed_k,40,5.0,0.9759793955229935,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_trimmed_k,5,6.0,1.240926402967509,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_median_k,80,1.0,0.9315994604664579,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_median_k,20,2.0,0.9702647248550387,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_median_k,15,3.0,0.9744671140681286,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_median_k,40,4.0,0.9866700638058661,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_median_k,10,5.0,0.9866739765997751,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_median_k,5,6.0,1.1661857127568496,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,all_permutation_mean_k,80,1.0,0.9047263549219865,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_mean_k,15,2.0,0.9613850053546283,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_mean_k,20,3.0,0.9624069932696491,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_mean_k,10,4.0,0.9735724022027868,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_mean_k,40,5.0,0.9751253009629989,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,all_permutation_mean_k,5,6.0,1.2583398913846684,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,80,1.0,0.8671694935417769,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,15,2.0,0.9435920834440285,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,20,3.0,0.9485832067220754,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,10,4.0,0.9614995940993031,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,40,5.0,0.9648299071837535,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,equal_weights,5,6.0,1.388789505593001,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,geomean,5,6.0,1.177597949124163,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
aggregation_method,geomean,10,5.0,0.9848164519394912,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
aggregation_method,geomean,15,3.0,0.9726680702961661,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
aggregation_method,geomean,20,2.0,0.969431658011816,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
aggregation_method,geomean,40,4.0,0.9845799398927295,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
